Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,YouTube,Широта,Долгота,2GIS URL
Яндекс.Маркет,постамат,Постаматы,"улица Азовская, 18",,117303,,Зюзино район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.656001,37.597881,https://2gis.com/firm/70000001057602871
OmniCDEK,постамат,Постаматы,"Мичуринский проспект, 58 к1",,119192,,Раменки район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,88007753553,,,http://omnicdek.com,http://cdek.ru,http://omnicdek.ru,,https://vk.com/cdek_express,,55.691249,37.486605,https://2gis.com/firm/70000001063897905
PickPoint,постамат,Постаматы,"Инициативная, 11",1 этаж,121357,,Фили-Давыдково район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.716103,37.456722,https://2gis.com/firm/4504128908631302
OmniCDEK,постамат,Постаматы,"Варшавское шоссе, 87Б",1 этаж; магазин Кораблик,117556,,Нагорный район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,88007753553,,,http://omnicdek.com,http://cdek.ru,http://omnicdek.ru,,https://vk.com/cdek_express,,55.6536,37.620877,https://2gis.com/firm/70000001061609963
OmniCDEK,постамат,Постаматы,"Инициативная, 11",2 этаж,121357,,Фили-Давыдково район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88007753553,,,http://omnicdek.com,http://cdek.ru,http://omnicdek.ru,,https://vk.com/cdek_express,,55.716103,37.456722,https://2gis.com/firm/70000001047684065
Почта России,почтомат,Постаматы,"Лихоборские Бугры, 14",1 этаж,125183,,Коптево район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.844299,37.546237,https://2gis.com/firm/70000001035382504
Почта России,почтомат,Постаматы,"Михалковская, 13",1 этаж,125239,,Коптево район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.838986,37.528584,https://2gis.com/firm/70000001035718744
OZON box,автоматизированный пункт выдачи,Постаматы,"Ферганская улица, 10",1 этаж; автотехцентр Алькор,109444,,Выхино-Жулебино район,Москва,,Москва,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.708306,37.806735,https://2gis.com/firm/70000001031910576
PickPoint,постамат,Постаматы,"микрорайон Северное Чертаново, 208",1 этаж,117648,,Чертаново Северное район,Москва,,Москва,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.63873,37.604192,https://2gis.com/firm/70000001035847047
Халва,почтомат,Постаматы,"Чонгарский бульвар, 16",,117556,,Нагорный район,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,88001008117,88001008869,,http://pochtomat.ru,,,,https://vk.com/pochtomat,,55.653613,37.60995,https://2gis.com/firm/70000001058682687
Почта России,почтомат,Постаматы,"Святоозёрская, 9",,111675,,Косино-Ухтомский район,Москва,,Москва,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.713106,37.89163,https://2gis.com/firm/70000001063391828
Яндекс.Маркет,постамат,Постаматы,"Варшавское шоссе, 95 к1",-1 этаж,117556,,Чертаново Северное район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.640278,37.62132,https://2gis.com/firm/70000001062198310
OmniCDEK,постамат,Постаматы,"Керамический проезд, 53 к1",1 этаж,127591,,Восточное Дегунино район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,88007753553,,,http://omnicdek.com,http://cdek.ru,http://omnicdek.ru,,https://vk.com/cdek_express,,55.876269,37.566781,https://2gis.com/firm/70000001058943184
5post,постамат,Постаматы,"улица Дудинка, 3",цокольный этаж; супермаркет Пятёрочка,129337,,Ярославский район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,88005555505 (горячая линия: круглосуточно),88005118800 (горячая линия: круглосуточно),,http://fivepost.ru,,,,https://vk.com/5postru,https://youtube.com/channel/UCSwdGXsMe2Ftay4LUh8L0eQ,55.862124,37.687581,https://2gis.com/firm/70000001053830477
Леруа Мерлен,постамат,Постаматы,"МКАД 84 км, вл3 ст2",1 этаж,141031,территория ТПЗ Алтуфьево,,,Мытищи городской округ,Московская область,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,,,,,,,,,,55.91482,37.574137,https://2gis.com/firm/70000001065149997
OZON box,автоматизированный пункт выдачи,Постаматы,"Свободный проспект, 1Б",супермаркет Пятёрочка,111531,,Ивановское район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.769002,37.821814,https://2gis.com/firm/70000001042903773
OZON box,автоматизированный пункт выдачи,Постаматы,"Селигерская улица, 12 к2",,127474,,Бескудниковский район,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.864101,37.55434,https://2gis.com/firm/70000001046784862
5post,постамат,Постаматы,"улица Паперника, 9/11",1 этаж; супермаркет Перекрёсток,109456,,Рязанский район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88005555505 (горячая линия: круглосуточно),88005118800 (горячая линия: круглосуточно),,http://fivepost.ru,,,,https://vk.com/5postru,https://youtube.com/channel/UCSwdGXsMe2Ftay4LUh8L0eQ,55.720636,37.787348,https://2gis.com/firm/70000001058714385
OZON box,автоматизированный пункт выдачи,Постаматы,"улица Академика Анохина, 9а",2 этаж,119571,,Тропарёво-Никулино район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.65848,37.472746,https://2gis.com/firm/70000001061566106
Яндекс.Маркет,постамат,Постаматы,"Снежная, 16 к1",цокольный этаж; супермаркет АТАК,129323,,Свиблово район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.85139,37.645934,https://2gis.com/firm/70000001052044703
PickPoint,постамат,Постаматы,"Дмитровское шоссе, 107а к1",,127247,,Дмитровский район,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.878703,37.541083,https://2gis.com/firm/70000001039615191
Cainiao,постамат,Постаматы,"улица Юных Ленинцев, 52",,109443,,Кузьминки район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,84951621088 (единая справочная: пн-вс 7:00-21:00),88002344899 (единая справочная: пн-вс 7:00-21:00),,http://cainiao.ru,,,,,,55.699879,37.765166,https://2gis.com/firm/70000001060512824
PickPoint,постамат,Постаматы,"улица Паршина, 35 к1",,123103,,Хорошёво-Мнёвники район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.788665,37.453602,https://2gis.com/firm/70000001046510290
СберЛогистика,постамат,Постаматы,"Молодогвардейская улица, 25 к1",,121351,,Кунцево район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88001007269 (единый номер: пн-вс 09:00-21:00),,,http://sberlogistics.ru/?utm_source=posto&utm_medium=2gis&utm_campaign=geo&utm_content=click,,,,https://vk.com/sberlogistic,,55.733557,37.419197,https://2gis.com/firm/70000001047017321
Почта России,почтомат,Постаматы,"улица Зеленодольская, 14 к1",1 этаж,109377,,Рязанский район,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.713993,37.783593,https://2gis.com/firm/70000001051317092
5post,постамат,Постаматы,"Кутузовский проспект, 88",-1 этаж; супермаркет Перекрёсток,121374,,Фили-Давыдково район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88005555505 (горячая линия: круглосуточно),88005118800 (горячая линия: круглосуточно),,http://fivepost.ru,,,,https://vk.com/5postru,https://youtube.com/channel/UCSwdGXsMe2Ftay4LUh8L0eQ,55.725233,37.449685,https://2gis.com/firm/70000001059704800
Pickpoint,пункт выдачи заказов,Постаматы,"Рублёвское шоссе, 40 к4",1 этаж,121609,,Крылатское район,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,88007007909 (горячая линия: круглосуточно),84959881230 (горячая линия: круглосуточно),84959843122 (горячая линия: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/club24434985,,55.751121,37.415948,https://2gis.com/firm/70000001054743402
Почта России,почтомат,Постаматы,"Белореченская, 3",1 этаж,109559,,Люблино район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.674372,37.769025,https://2gis.com/firm/70000001058773641
Cainiao,постамат,Постаматы,"Новогиреевская улица, 28а",,111397,,Перово район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,84951621088 (единая справочная: пн-вс 7:00-21:00),88002344899 (единая справочная: пн-вс 7:00-21:00),,http://cainiao.ru,,,,,,55.75582,37.794989,https://2gis.com/firm/70000001058959621
OZON box,автоматизированный пункт выдачи,Постаматы,"Чонгарский бульвар, 19",1 этаж; универсам Верный,117452,,Нагорный район,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.652949,37.606786,https://2gis.com/firm/70000001035473991
PickPoint,постамат,Постаматы,"улица Перовская, 61а",4 этаж; напротив лифта,111394,,Новогиреево район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.745198,37.797895,https://2gis.com/firm/70000001031587030
PickPoint,постамат,Постаматы,"Бескудниковский бульвар, 15 к1",,127474,,Бескудниковский район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.864263,37.559217,https://2gis.com/firm/70000001060413157
Яндекс.Маркет,постамат,Постаматы,"Снежная, 13 к1",магазин Пена,129323,,Свиблово район,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.852059,37.645254,https://2gis.com/firm/70000001052044692
СберЛогистика,постамат,Постаматы,"Каширское шоссе, 26 к2",цокольный этаж,115522,,Москворечье-Сабурово район,Москва,,Москва,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,88001007269 (единый номер: пн-вс 09:00-21:00),,,http://sberlogistics.ru/?utm_source=posto&utm_medium=2gis&utm_campaign=geo&utm_content=click,,,,https://vk.com/sberlogistic,,55.653614,37.647908,https://2gis.com/firm/70000001059450457
Почта России,почтомат,Постаматы,"Мичуринский проспект, Олимпийская деревня, 4 к2",,119602,Олимпийская деревня-80 м-н,Тропарёво-Никулино район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.675526,37.468512,https://2gis.com/firm/70000001062804834
PickPoint,постамат,Постаматы,"Мичуринский проспект, Олимпийская деревня, 4 к2",цокольный этаж,119602,Олимпийская деревня-80 м-н,Тропарёво-Никулино район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.675526,37.468512,https://2gis.com/firm/70000001054998732
Яндекс.Маркет,постамат,Постаматы,"3-я Парковая улица, 4",,105043,,Измайлово район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.789324,37.784602,https://2gis.com/firm/70000001052169143
Яндекс.Маркет,постамат,Постаматы,"Зелёный проспект, 39 к1",около касс супермаркета Дикси,111397,,Перово район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.753341,37.79637,https://2gis.com/firm/70000001043890770
PickPoint,постамат,Постаматы,"Ташкентская, 34/4",,109472,,Выхино-Жулебино район,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.696758,37.79913,https://2gis.com/firm/70000001063866151
PickPoint,постамат,Постаматы,"Татьянин Парк улица, 19 к2",1 этаж,119618,,Московский поселение,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,89252018341,88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.657448,37.427016,https://2gis.com/firm/70000001035421044
Почта России,почтомат,Постаматы,"Спасская, 1 к А",1 этаж; гипермаркет Магнит Семейный,143410,Павшинская пойма м-н,,Красногорск,Красногорск городской округ,Московская область,Россия,Пн: 07:30-23:00; Вт: 07:30-23:00; Ср: 07:30-23:00; Чт: 07:30-23:00; Пт: 07:30-23:00; Сб: 07:30-23:00; Вс: 07:30-23:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.827668,37.368599,https://2gis.com/firm/70000001059478996
Cainiao,постамат,Постаматы,"Малая Юшуньская, 1",1 этаж,117303,,Зюзино район,Москва,,Москва,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+03:00,84951621088 (единая справочная: пн-вс 7:00-21:00),88002344899 (единая справочная: пн-вс 7:00-21:00),,http://cainiao.ru,,,,,,55.653153,37.594873,https://2gis.com/firm/70000001060851191
Халва,Почтомат №6345,Постаматы,"Лазоревый проезд, 22",,129323,,Свиблово район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,88001009411 (единая справочная: пн-вс 9:00-21:00),88001009237 (единая справочная: пн-вс 9:00-21:00),88001009405 (единая справочная: пн-вс 9:00-21:00),http://pochtomat.ru,,,,https://vk.com/pochtomat,,55.852689,37.635192,https://2gis.com/firm/70000001064192658
PickPoint,постамат,Постаматы,"Кировоградская улица, 13а",-1 этаж,117519,,Чертаново Центральное район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.612171,37.606048,https://2gis.com/firm/70000001022277305
OmniCDEK,Постамат №7041,Постаматы,"улица Старокачаловская, 5",2 этаж,117216,,Северное Бутово район,Москва,,Москва,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,88007753553,,,http://omnicdek.com,http://cdek.ru,http://omnicdek.ru,,https://vk.com/cdek_express,,55.570212,37.580022,https://2gis.com/firm/70000001047287621
OZON box,автоматизированный пункт выдачи,Постаматы,"микрорайон Северное Чертаново, 5 к Г",,117648,Северное Чертаново м-н,Чертаново Северное район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.638212,37.591137,https://2gis.com/firm/70000001040664838
OZON box,автоматизированный пункт выдачи,Постаматы,"Дмитровское шоссе, 94 к1",,127247,,Бескудниковский район,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.874721,37.548863,https://2gis.com/firm/70000001064346533
Яндекс.Маркет,постамат,Постаматы,"Кронштадтский бульвар, 30",Продуктовый магазин,125499,,Головинский район,Москва,,Москва,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.849952,37.511263,https://2gis.com/firm/70000001047406156
СберЛогистика,постамат,Постаматы,"Ферганский проезд, 10г ст1",1 этаж,109507,,Выхино-Жулебино район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88001007269 (единый номер: пн-вс 09:00-21:00),,,http://sberlogistics.ru/?utm_source=posto&utm_medium=2gis&utm_campaign=geo&utm_content=click,,,,https://vk.com/sberlogistic,,55.696134,37.82163,https://2gis.com/firm/70000001046173871
